QUESTION;ANSWER A;ANSWER B;ANSWER C;ANSWER D
What is this constellation ?;Aquila;Norma;Ara;Columba
What is this constellation ?;Andromeda;Columba;Cassiopeia;Delphinus
What is this constellation ?;Sculptor;Columba;Sagitta;Delphinus
What is this constellation ?;Ara;Sagitta;Capricornus;Fornax
What is this constellation ?;Libra;Scutum;Andromeda;Delphinus
What is this constellation ?;Cetus;Sagitta;Crater;Ara
What is this constellation ?;Aries;Sagitta;Cygnus;Gemini
What is this constellation ?;Scutum;Cygnus;Sagitta;Draco
What is this constellation ?;Pyxis;Sculptor;Dorado;Carina
What is this constellation ?;Bootes;Auriga;Pyxis;Caelum
What is this constellation ?;Caelum;Cassiopeia;Cygnus;Crux
What is this constellation ?;Chamaeleon;Crater;Carina;Dorado
What is this constellation ?;Cancer;Canes Venatici ;Auriga;Norma
What is this constellation ?;Capricornus;Bootes;Cetus;Aries
What is this constellation ?;Carina;Capricornus;Auriga;Gemini
What is this constellation ?;Cassiopeia;Scutum;Centaurus;Cepheus
What is this constellation ?;Centaurus;Andromeda;Capricornus;Draco
What is this constellation ?;Cepheus;Corona Borealis;Norma;Aries
What is this constellation ?;Coma Berenices;Chamaeleon;Eridanus;Ara
What is this constellation ?;Canes Venatici ;Columba;Dorado;Norma
What is this constellation ?;Auriga;Canes Venatici ;Carina;Capricornus
What is this constellation ?;Columba;Crux;Libra;Sagitta
What is this constellation ?;Circinus;Cepheus;Fornax;Coma Berenices
What is this constellation ?;Crater;Gemini;Centaurus;Sagitta
What is this constellation ?;Corona Australis;Pyxis;Ara;Canes Venatici 
What is this constellation ?;Corona Borealis;Pyxis;Centaurus;Norma
What is this constellation ?;Corvus;Sagitta;Canes Venatici ;Pyxis
What is this constellation ?;Crux;Cepheus;Scutum;Andromeda
What is this constellation ?;Cygnus;Auriga;Carina;Aquila
What is this constellation ?;Delphinus;Cetus;Aquila;Columba
What is this constellation ?;Dorado;Capricornus;Fornax;Cetus
What is this constellation ?;Draco;Canes Venatici ;Cetus;Crater
What is this constellation ?;Norma;Cepheus;Sagitta;Auriga
What is this constellation ?;Eridanus;Scutum;Cassiopeia;Cygnus
What is this constellation ?;Sagitta;Gemini;Eridanus;Carina
What is this constellation ?;Fornax;Aries;Corona Australis;Chamaeleon
What is this constellation ?;Gemini;Cygnus;Centaurus;Cetus
